Rank,Team,Player,Fantasy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
1,BUF,Josh Allen,QB,1.01,7,29.9,undefined,1106,1799,3411,"Despite a weak pass-catching corps, Allen led all QBs in fantasy points per game in 2025. At 30, Allen’s run of elite play should continue for the foreseeable future. He gets a nice boost with the addition of D.J. Moore, who should stick around for at least the next two seasons.",100
2,KC,Patrick Mahomes,QB,3.02,10,30.6,undefined,1031,1684,3262,"Mahomes posted underwhelming production in 2024, ultimately finishing as the QB11. When healthy in 2025, he lacked consistency from week to week. Instead, he relied on rushing stats to finish as a top-5 fantasy QB pre-injury. Unfortunately, he suffered a December ACL/LCL tear that puts his availability for Week 1, 2026, in question.",81
3,CIN,Joe Burrow,QB,1.10,10,29.3,undefined,1032,1668,3154,"Burrow performed as a high-end QB1 in 2024. He was also one of the offseason winners in 2025, as Cincy retained WRs Ja’Marr Chase AND Tee Higgins on long-term deals. Then came a disastrous '25 season that was thrown off track by a Week 2 turf toe injury. Fortunately, Burrow returned and flashed his high-end upside on a couple of occasions. He should have multiple years of top-8 production remaining.",81
4,BAL,Lamar Jackson,QB,1.11,7,29.3,undefined,1021,1666,2923,"Jackson posted an MVP-caliber 2024, resulting in a career-high 488 fantasy points. But injuries to his back and hamstring severely limited his fantasy output in 2025. In fact, Jackson delivered only three top-5 fantasy finishes -- each over the first three weeks of the season. Jackson is a bounce-back candidate for 2026, his age-29 season.",75
5,NE,Drake Maye,QB,1.03,14,23.6,undefined,946,1601,3199,"Well-built at 6’4, 230, Maye showed he could make any throw on the field as a rookie. Then, alongside an upgraded O-line and an improved WR corps, Maye’s play reached elite levels in 2025. He ranked top five in passing TDs, passing yards, yards per attempt, and passing success rate. His arrow is pointing straight up ahead of Year 3.",73
6,WAS,Jayden Daniels,QB,1.08,12,25.3,undefined,993,1617,3018,"Daniels proved pro-ready as a rookie, throwing for 3,568 yards, 25 TDs, and 9 INTs on a 69% completion rate. His 891 rushing yards ranked second among QBs. Washington added useful pieces in the '25 offseason, including WR Deebo Samuel and LT Laremy Tunsil, but a pair of elbow injuries ultimately derailed the QB's season. At only 25, Daniels is a prime rebound candidate for 2026 and beyond.",71
7,ATL,Bijan Robinson,RB,1.02,5,24.2,undefined,759,1221,2052,"With OC Arthur Smith out of town, Robinson's production exploded to 1,881 total yards and 15 TDs in 2024. While his TD count dropped in 2025, he still posted a career-high 22.0 PPR points per game. He also played all 17 games for the third straight season. At only 24, Bijan should remain an elite fantasy option for the foreseeable future.",70
8,LAC,Justin Herbert,QB,2.12,12,28.1,undefined,964,1576,3059,"Alongside new HC Jim Harbaugh, WR Ladd McConkey, and LT Joe Alt, Herbert played excellent real-life ball in 2024. However, he finished as a QB1 in only five of 17 games. The team added back Keenan Allen in 2025, plus spent early picks on RB Omarion Hampton and WR Tre Harris. The team even saw a quick rise from Round 5 TE Oronde Gadsden II. Herbert ultimately delivered a fine fantasy season with help from boosted rushing volume. But an injury-ravaged O-line and another Herbert injury -- this time to his hand -- limited what could have been an even better season. With plenty of talent around him, Herbert remains an upside QB1 alongside new OC Mike McDaniel.",68
9,DET,Jahmyr Gibbs,RB,1.05,8,24.1,undefined,711,1127,1800,"Despite a slow start, Gibbs largely delivered as a rookie RB. He averaged 5.2 YPC and popped in 10 TDs on 182 attempts, adding 52 receptions. His production reached new heights in 2024, and he proved more than capable as a workhorse back following a late-season injury to David Montgomery. 2025 turned up much of the same, as he finished as the PPR RB3 even with a few late-season duds. The former Round 1 pick is now eligible for a contract extension.",64
10,ARI,Jeremiyah Love,RB,2.06,8,20.8,undefined,670,1116,2087,"Love was a force at Notre Dame, posting back-to-back 1,100-yard rushing seasons with 35 total rushing TDs. His contact balance and power rank among the best RB traits in recent draft classes, and his profile stacks up favorably with Ashton Jeanty’s. Arizona doesn't supply an excellent situation in 2026, as the OL and QB spots lack talent. Still, Love brings true three-down upside and will be just 21 years old as a rookie. He's an easy fit inside the top-five dynasty RBs.",62
11,CIN,Ja'Marr Chase,WR,1.04,10,26.1,undefined,683,1108,2046,"Chase took a slight step back after his 2024 triple crown, but Joe Burrow’s extended absence shaped much of that dip. Even so, Chase still finished WR3 in PPR points per game at 19.7. That number felt much closer to his floor than his ceiling. As long as Burrow stays healthy, Chase will push for the top WR spot each year for the foreseeable future. He's only 26 years old.",62
12,LAC,Omarion Hampton,RB,2.09,12,23.1,257,704,"1,108","1,884","Hampton carried the North Carolina offense for two years -- 2023-2024 -- including one year when Drake Maye was the QB. The former four-star recruit tallied two straight years of 1,500+ rushing yards and 15 TDs, and he adds solid receiving potential. A shifty runner who can hit the home run, Hampton showed his athleticism by crushing the Combine with a 4.48 40-yard dash and a 38"" vertical. While he landed in a dreamy spot with HC Jim Harbaugh and the Chargers, Hampton made only nine appearances due to an ankle fracture. If healthy, an RB1 season is in reach for '26 and beyond.",59
13,PHI,Jalen Hurts,QB,3.01,9,27.7,undefined,961,1538,2627,"Hurts set a career-high in passing TDs in 2025. However, his rushing production took a hit, leading to a career low in fantasy points per game. Hurts did manage to avoid missing time after a concussion cost him two games in 2024. He enters next season likely to be without top WR A.J. Brown, although Philly added a versatile pass catcher in Round 1 WR Makai Lemon. Hurts is under contract through the 2028 season.",59
14,JAC,Trevor Lawrence,QB,3.07,8,26.5,undefined,908,1495,2909,"A shoulder injury limited Lawrence to only 10 games in 2024. Then in 2025, he rebounded tremendously under new HC Liam Coen. Lawrence tallied 4,007-29-12 -- plus nine rushing TDs. That propelled him to an overall QB4 fantasy finish. Lawrence's huge season came despite only seven games alongside rookie WR Travis Hunter. We also saw WR Brian Thomas Jr. take a major step back. Veteran Jakobi Meyers stepped up following a mid-season trade, as the team extended him through the 2028 season. Regardless of the pieces, Lawrence's stock is clearly on the rise.",59
15,LVR,Ashton Jeanty,RB,2.05,8,22.3,undefined,638,1053,1837,"Jeanty went from a 1,900-yard sophomore season to a 2,700-yard junior season. His college tape showed elite contact balance, burst, and receiving ability. Arriving as the sixth overall pick, Jeanty showed elite flashes, most notably in a Week 16 game at Houston. Overall, Jeanty's effectiveness was limited by poor O-line and QB play. 2026 will bring major offensive changes, although Jeanty still projects as a workhorse.",58
16,HOU,Nico Collins,WR,3.10,6,27.1,285,804,"1,303","2,407","Collins finished WR11 in PPR points per game in 2025 (15.1). Houston's struggles on offense made for a volatile season, but Collins came on late with C.J. Stroud and Davis Mills. He was a top-12 WR in a struggling offense, so the potential for even better results exists over the next few years. Collins is under contract through the 2027 season.",56
17,SEA,Jaxon Smith-Njigba,WR,1.07,8,24.2,undefined,618,1007,1860,"JSN took another step forward in his third season, finishing as WR2 in PPR points per game (21.3). Even on a Seahawks offense that wanted to lean on the run, JSN remained dominant. His route running and athleticism leave him open on most passing plays, which led to 163 targets from Sam Darnold. At only 24 years old, JSN is one of the top players in dynasty.",55
18,MIN,Justin Jefferson,WR,2.04,6,26.8,undefined,628,1019,1867,"The 2025 season marked a low point for Jefferson, at least by his standards. He finished WR31 in PPR points per game at 11.9 while dealing with a three-man QB rotation of JJ McCarthy, Carson Wentz, and Max Brosmer. Jefferson still reached 1,000 receiving yards again, stretching that streak to seven seasons. He remains in the thick of his prime. Plus, Kyler Murray arrived in March to bolster the QB room.",55
19,LAR,Puka Nacua,WR,1.06,8,24.9,undefined,591,968,1811,"Nacua delivered a career year in 2025, finishing as the PPR WR1 with 377 fantasy points. Matthew Stafford fed him 166 targets, making Nacua the clear centerpiece of the Rams’ passing game. At 24, he remains locked in as one of dynasty’s top WRs. The one thing keeping him from the top overall spot is the long-term uncertainty at QB.",54
20,DAL,CeeDee Lamb,WR,2.07,10,27,undefined,609,983,1790,"Lamb shared the spotlight with George Pickens, but he was still productive. He finished 2025 as WR10 in PPR points per game at 15.5. Lamb did have a short stint on IR after an AC joint sprain, but he remains an upside fantasy asset when healthy. At only 26, Lamb should be a fantasy mainstay for a long time.",53
21,NE,TreVeyon Henderson,RB,4.06,14,23.5,203,680,"1,075","1,775","Henderson was highly recruited and showed top-end traits at Ohio State, particularly his burst and pass-catching ability. He ran as expected at the Combine with a 4.43 40-yard dash and tied for second among RBs with a 1.52 10-yard split. Henderson appeared in all 17 games as a rookie but wasn't a major contributor until midseason. (He finished as a top-25 PPR back in seven of his final nine games.) An elite QB and an improved O-line only add value here.",53
22,CHI,Caleb Williams,QB,2.02,5,24.4,undefined,874,1452,2831,"Williams showed the ability to make high-end throws as a rookie. But his tendency to hold the ball and take sacks led to a wildly inconsistent campaign. Fortunately, an improved O-line and an upgraded pass-catching corps arrived last offseason and immediately paid dividends. TE Colston Loveland and WR Luther Burden really showed promise and supply long-term building blocks. Williams should only improve as he gains time in HC Ben Johnson's system.",53
23,IND,Jonathan Taylor,RB,3.03,11,27.3,307,699,"1,025","1,423","Taylor missed three games in 2024 but remained busy on a per-game basis, averaging 23 touches. The former Round 2 pick then went off for a HUGE 2025 that included 323 carries, 1,585 yards, and 18 TDs. He added a career-high 46 catches and 378 yards. Now, Taylor's huge career workload makes him a candidate for an early decline. In the short-term, though, this Indy offense should remain centered on the run. JT is signed for one more season.",52
24,LVR,Brock Bowers,TE,2.01,8,23.3,undefined,598,973,1734,"Bowers disappointed in 2025 while dealing with a knee injury. He only played in 12 games and finished with 64-680-7 receiving. The talent is still undeniable, and Bowers should rebound alongside Fernando Mendoza in 2026.",52
25,MIA,De'Von Achane,RB,2.08,12,24.5,undefined,614,948,1515,"Achane's rushing efficiency hit a snag in 2024. But his receiving work went through the roof: 78 catches, 592 yards, and 6 TDs. Another easy RB1 season surfaced in 2025, although he'll now hit Year 4 alongside a new QB and HC -- and a rebuilding roster.",51
