name,value,rank,sleeper_id
Drake Maye,9999.0,1,11564
Josh Allen,9960.0,2,4984
Jaxon Smith-Njigba,9868.0,3,9488
Bijan Robinson,9740.0,4,9509
Puka Nacua,9613.0,5,9493
Jahmyr Gibbs,9485.0,6,9221
Ja'Marr Chase,9357.0,7,7564
Brock Bowers,9229.0,8,11604
Jayden Daniels,9160.0,9,11566
Joe Burrow,9020.0,10,6770
Lamar Jackson,8950.0,11,4881
Caleb Williams,8881.0,12,11560
Trey McBride,8811.0,13,8130
Malik Nabers,8741.0,14,11632
Amon-Ra St. Brown,8671.0,15,7547
Ashton Jeanty,8602.0,16,12527
Jeremiyah Love,8532.0,17,13287
Justin Jefferson,8462.0,18,6794
Justin Herbert,6672.0,19,6797
CeeDee Lamb,6633.0,20,6786
Drake London,6593.0,21,8112
De'Von Achane,6553.0,22,9226
Jaxson Dart,6514.0,23,12508
Patrick Mahomes,6474.0,24,4046
Colston Loveland,6434.0,25,12517
Jalen Hurts,6395.0,26,6904
Trevor Lawrence,5747.0,27,7523
Omarion Hampton,5720.0,28,12507
Tetairoa McMillan,5693.0,29,12526
Brock Purdy,5665.0,30,8183
Bo Nix,5638.0,31,11563
George Pickens,5611.0,32,8137
Jonathan Taylor,5201.0,33,6813
Nico Collins,5184.0,34,7569
Tyler Warren,5167.0,35,12518
Jordan Love,5150.0,36,6804
James Cook,5133.0,37,8138
Kenneth Walker,5116.0,38,8151
Chase Brown,5099.0,39,9224
Fernando Mendoza,5082.0,40,13269
Carnell Tate,5065.0,41,13279
Rashee Rice,5048.0,42,10229
Chris Olave,4692.0,43,8144
Emeka Egbuka,4681.0,44,12514
Tucker Kraft,4670.0,45,9484
Garrett Wilson,4659.0,46,8146
Ladd McConkey,4648.0,47,11635
Makai Lemon,4638.0,48,13294
Zay Flowers,4627.0,49,9997
Luther Burden,4605.0,50,12519
Harold Fannin,4594.0,51,12506
Jordyn Tyson,4583.0,52,13281
Cam Skattebo,4292.0,53,12481
TreVeyon Henderson,4283.0,54,12529
Quinshon Judkins,4274.0,55,12512
Dak Prescott,4265.0,56,3294
Jared Goff,4256.0,57,3163
C.J. Stroud,4247.0,58,9758
Marvin Harrison,4238.0,59,11628
Breece Hall,4229.0,60,8155
Rome Odunze,4220.0,61,11620
Brian Thomas,4211.0,62,11631
A.J. Brown,4202.0,63,5859
KC Concepcion,4193.0,64,13298
Cam Ward,4184.0,65,12522
Baker Mayfield,4175.0,66,4892
Kyren Williams,4165.0,67,8150
Bucky Irving,4156.0,68,11584
Christian McCaffrey,4147.0,69,4034
DeVonta Smith,4138.0,70,7525
Tyler Shough,3779.0,71,12545
