name,rank,position,team,age,years_exp
Josh Allen,1,QB1,BUF,29,8
Drake Maye,2,QB2,NE,23,2
Jayden Daniels,3,QB3,WAS,25,2
Joe Burrow,4,QB4,CIN,29,6
Lamar Jackson,5,QB5,BAL,29,8
Caleb Williams,6,QB6,CHI,24,2
Justin Herbert,7,QB7,LAC,28,6
Jalen Hurts,8,QB8,PHI,27,6
Patrick Mahomes II,9,QB9,KC,30,9
Trevor Lawrence,10,QB10,JAX,26,5
Jaxson Dart,11,QB11,NYG,22,1
Brock Purdy,12,QB12,SF,26,4
Ja&apos;Marr Chase,13,WR1,CIN,26,5
Bo Nix,14,QB13,DEN,26,2
Puka Nacua,15,WR2,LAR,24,3
Dak Prescott,16,QB14,DAL,32,10
Jaxon Smith-Njigba,17,WR3,SEA,24,3
Fernando Mendoza,18,QB15,FA,22,R
Bijan Robinson,20,RB1,ATL,24,3
Malik Nabers,21,WR4,NYG,22,2
CeeDee Lamb,22,WR5,DAL,27,6
Jordan Love,23,QB16,GB,27,6
Jahmyr Gibbs,24,RB2,DET,24,3
Amon-Ra St. Brown,25,WR6,DET,26,5
Baker Mayfield,26,QB17,TB,31,8
Ashton Jeanty,27,RB3,LV,22,1
De'Von Achane,29,RB4,MIA,24,3
Justin Jefferson,30,WR7,MIN,26,6
C.J. Stroud,32,QB18,HOU,24,3
Drake London,33,WR8,ATL,24,4
Jonathan Taylor,34,RB5,IND,27,6
Tetairoa McMillan,35,WR9,CAR,23,1
Jared Goff,36,QB19,DET,31,10
Nico Collins,37,WR10,HOU,27,5
Omarion Hampton,38,RB6,LAC,23,1
Trey McBride,39,TE1,ARI,26,4
Chris Olave,40,WR11,NO,25,4
Sam Darnold,42,QB20,SEA,28,8
George Pickens,44,WR12,DAL,25,4
James Cook,45,RB7,BUF,26,4
Garrett Wilson,46,WR13,NYJ,25,4
Tyler Shough,47,QB21,NO,26,1
Jeremiyah Love,48,RB8,FA,20,R
Rashee Rice,50,WR14,KC,26,3
TreVeyon Henderson,51,RB9,NE,23,1
Emeka Egbuka,53,WR15,TB,23,1
Kyler Murray,55,QB22,MIN,28,7
Ladd McConkey,56,WR16,LAC,24,2
Brock Bowers,57,TE2,LV,23,2
Rome Odunze,59,WR17,CHI,23,2
Tee Higgins,61,WR18,CIN,27,6
Chase Brown,63,RB10,CIN,26,3
Breece Hall,64,RB11,NYJ,24,4
Cameron Ward,65,QB23,TEN,23,1
Zay Flowers,66,WR19,BAL,25,3
Colston Loveland,67,TE3,CHI,22,1
Christian McCaffrey,69,RB12,SF,29,9
A.J. Brown,70,WR20,PHI,28,7
Saquon Barkley,73,RB13,PHI,29,8
Tyler Warren,74,TE4,IND,23,1
Carnell Tate,75,WR21,FA,21,R
Bryce Young,76,QB24,CAR,24,3
Ken Walker III,77,RB14,KC,25,4
Luther Burden III,78,WR22,CHI,22,1
DeVonta Smith,80,WR23,PHI,27,5
Harold Fannin Jr.,81,TE5,CLE,21,1
Quinshon Judkins,82,RB15,CLE,22,1
Brian Thomas Jr.,84,WR24,JAX,23,2
Daniel Jones,86,QB25,IND,28,7
Jameson Williams,87,WR25,DET,25,4
Kyren Williams,89,RB16,LAR,25,4
Marvin Harrison Jr.,91,WR26,ARI,23,2
Tucker Kraft,92,TE6,GB,25,3
Makai Lemon,93,WR27,FA,21,R
Cam Skattebo,94,RB17,NYG,24,1
Matthew Stafford,95,QB26,LAR,38,17
Jaylen Waddle,96,WR28,DEN,27,5
Bucky Irving,97,RB18,TB,23,2
Travis Etienne Jr.,98,RB19,NO,27,5
Jordyn Tyson,100,WR29,FA,21,R
Sam LaPorta,101,TE7,DET,25,3
Josh Jacobs,102,RB20,GB,28,7
DK Metcalf,104,WR30,PIT,28,7
Malik Willis,105,QB27,MIA,26,4
Javonte Williams,106,RB21,DAL,26,5
