name,value
2026 Early 1st,5704
2026 Early 2nd,3288
2026 Early 3rd,2296
2026 Early 4th,1693
2026 Late 1st,3918
2026 Late 2nd,2780
2026 Late 3rd,1997
2026 Late 4th,1452
2026 Mid 1st,4616
2026 Mid 2nd,3018
2026 Mid 3rd,2160
2026 Mid 4th,1606
2027 Early 1st,7109
2027 Early 2nd,3964
2027 Early 3rd,2633
2027 Early 4th,1848
2027 Late 1st,4927
2027 Late 2nd,3189
2027 Late 3rd,2213
2027 Late 4th,1670
2027 Mid 1st,5634
2027 Mid 2nd,3421
2027 Mid 3rd,2442
2027 Mid 4th,1761
2028 Early 1st,4936
2028 Early 2nd,3100
2028 Early 3rd,2138
2028 Early 4th,1638
2028 Late 1st,3975
2028 Late 2nd,2769
2028 Late 3rd,1891
2028 Late 4th,1289
2028 Mid 1st,4431
2028 Mid 2nd,2980
2028 Mid 3rd,2072
2028 Mid 4th,1523
A.J. Brown,4827
Aaron Jones,2207
Aaron Rodgers,1820
Adam Randall,840
Adam Trautman,508
Adonai Mitchell,2465
Aidan O'Connell,788
Ainias Smith,823
AJ Barner,2797
Alec Pierce,4109
Alexander Mattison,805
Alvin Kamara,2102
Amon-Ra St. Brown,7785
Andrei Iosivas,1666
Anthony Richardson,2290
Antonio Williams,2746
Arian Smith,1011
Ashton Jeanty,7567
Audric Estime,1566
Baker Mayfield,4748
Bam Knight,1169
Barion Brown,519
Ben Sinnott,1793
Bhayshul Tuten,3952
Bijan Robinson,9999
Blake Corum,3203
Bo Melton,1009
Bo Nix,6109
Braelon Allen,2664
Brandin Cooks,518
Brandon Aiyuk,2391
Brashard Smith,1853
Breece Hall,5430
Brenden Rice,752
Brenen Thompson,1243
Brenton Strange,3008
Brevin Jordan,952
Brian Robinson,2369
Brian Thomas,4910
Brock Bowers,7986
Brock Purdy,5810
Brock Wright,1021
Bryce Lance,1083
Bryce Young,4511
Bub Means,842
Bucky Irving,4892
C.J. Stroud,4857
Cade Klubnik,1713
Cade Otton,2354
Cade Stover,1445
Caleb Douglas,869
Caleb Williams,7893
Calvin Austin,1530
Calvin Ridley,1907
Cam Akers,566
Cam Skattebo,4592
Cam Ward,5293
Carnell Tate,5864
Carson Beck,1317
Cedric Tillman,1938
CeeDee Lamb,7329
Charlie Kolar,1008
Chase Brown,4881
Chigoziem Okonkwo,2678
Chimere Dike,2509
Chris Bell,2984
Chris Brazzell,2641
Chris Brooks,1189
Chris Godwin,3004
Chris Olave,5552
Chris Rodriguez,2530
Christian Kirk,2037
Christian McCaffrey,5059
Christian Watson,3638
Chuba Hubbard,3409
CJ Daniels,636
Colby Parkinson,1916
Cole Kmet,2024
Cole Payton,702
Colston Loveland,6038
Cooper Kupp,1824
Courtland Sutton,3222
D'Andre Swift,3483
D.J. Moore,3693
Dak Prescott,4982
Dallas Goedert,2598
Dalton Kincaid,3238
Dalton Schultz,2278
Dameon Pierce,1010
Damien Martinez,1478
Daniel Bellinger,1482
Daniel Jones,3975
Darius Slayton,1575
Darnell Mooney,2094
Darnell Washington,1833
Darren Waller,878
Davante Adams,3414
David Bell,957
David Montgomery,3409
David Njoku,2523
Davis Allen,931
Davis Mills,1386
Dawson Knox,1752
De'Von Achane,6858
De'Zhaun Stribling,1960
DeAndre Hopkins,512
Deebo Samuel,2293
Deion Burks,1020
Demarcus Robinson,917
Demario Douglas,2040
Demond Claiborne,1669
Denzel Boston,3468
Derius Davis,513
Derrick Henry,3846
Deshaun Watson,2025
Deuce Vaughn,921
Devaughn Vele,1522
Devin Neal,2124
Devin Singletary,1319
DeVonta Smith,5213
Devontez Walker,1385
Dillon Gabriel,1411
DJ Giddens,2034
DK Metcalf,3684
Donovan Edwards,1178
Dont'e Thornton,2071
Dontayvion Wicks,2447
Drake London,6870
Drake Maye,9407
Drew Allar,1244
Drew Lock,958
Dyami Brown,1454
Dylan Laube,511
Dylan Sampson,2674
Efton Chism,1309
Eli Heidenreich,884
Eli Raridon,1089
Eli Stowers,3570
Elic Ayomanor,2667
Elijah Arroyo,2524
Elijah Higgins,1258
Elijah Mitchell,534
Elijah Moore,1246
Elijah Sarratt,2764
Emanuel Wilson,2076
Emari Demercado,1154
Emeka Egbuka,6145
Emmett Johnson,2505
Erick All,1265
Evan Engram,1893
Fernando Mendoza,5674
Frank Gore,880
Gabriel Davis,1138
Gardner Minshew,1132
Garrett Nussmeier,1705
