canonicalName,sourceName,position,team,rank,total_ranked,projection
josh allen,Josh Allen,QB,,1,250,
lamar jackson,Lamar Jackson,QB,,2,250,
jahmyr gibbs,Jahmyr Gibbs,RB,,3,250,
bijan robinson,Bijan Robinson,RB,,4,250,
jaxon smith njigba,Jaxon Smith-Njigba,WR,,5,250,
kenneth walker,Kenneth Walker III,RB,,6,250,
jalen hurts,Jalen Hurts,QB,,7,250,
joe burrow,Joe Burrow,QB,,8,250,
derrick henry,Derrick Henry,RB,,9,250,
jamarr chase,Ja'Marr Chase,WR,,10,250,
brock purdy,Brock Purdy,QB,,11,250,
drake maye,Drake Maye,QB,,12,250,
amon ra st brown,Amon-Ra St. Brown,WR,,13,250,
christian mccaffrey,Christian McCaffrey,RB,,14,250,
james cook,James Cook,RB,,15,250,
jonathan taylor,Jonathan Taylor,RB,,16,250,
dak prescott,Dak Prescott,QB,,17,250,
ceedee lamb,CeeDee Lamb,WR,,18,250,
trevor lawrence,Trevor Lawrence,QB,,19,250,
justin jefferson,Justin Jefferson,WR,,20,250,
puka nacua,Puka Nacua,WR,,21,250,
patrick mahomes,Patrick Mahomes,QB,,22,250,
saquon barkley,Saquon Barkley,RB,,23,250,
chris olave,Chris Olave,WR,,24,250,
caleb williams,Caleb Williams,QB,,25,250,
justin herbert,Justin Herbert,QB,,26,250,
kyler murray,Kyler Murray,QB,,27,250,
jared goff,Jared Goff,QB,,28,250,
bo nix,Bo Nix,QB,,29,250,
nico collins,Nico Collins,WR,,30,250,
george pickens,George Pickens,WR,,31,250,
christian watson,Christian Watson,WR,,32,250,
ashton jeanty,Ashton Jeanty,RB,,33,250,
tee higgins,Tee Higgins,WR,,34,250,
javonte williams,Javonte Williams,RB,,35,250,
drake london,Drake London,WR,,36,250,
devon achane,De'Von Achane,RB,,37,250,
chase brown,Chase Brown,RB,,38,250,
brock bowers,Brock Bowers,TE,,39,250,
devonta smith,DeVonta Smith,WR,,40,250,
trey mcbride,Trey McBride,TE,,41,250,
omarion hampton,Omarion Hampton,RB,,42,250,
